Date,JPM,USB,WFC,CMA,C,BAC
15/09/1998,4.1819295,2.8628369,5.1836925,3.054256,1.42956,4.6492908
16/09/1998,1.080763,0.495845,0.9962545,0.8534896,0.403197,0.9549806
17/09/1998,0.552112,0.5060457,0.0954439,-0.0569665,0.1844942,0.1668288
18/09/1998,0.7980565,0.7625703,0.354386,0.0551009,0.5278672,0.3594719
21/09/1998,-0.6552187,-0.4909913,-0.0531027,0.4200694,0.7328944,0.4302546
22/09/1998,0.0350698,0.406928,0.1421733,-0.7133188,0,-0.7755448
23/09/1998,2.6190897,1.1016777,0.979641,0.6839432,1.4788776,-0.1430985
24/09/1998,0.3092104,0.1427366,0.3121696,0.5758171,-0.1256215,0.2501068
25/09/1998,0.1566879,0.1111693,-0.3468021,0.751069,0.3054807,0.1110034
28/09/1998,0.8275209,1.1313633,0.5723141,0.6874994,0.8603563,0.942107
29/09/1998,-0.0651615,0.1745988,0.2011395,-0.00847137,-0.0580819,-0.129536
30/09/1998,1.3171462,0.986253,0.8706943,1.0550265,1.8622082,1.6914901
10/01/1998,0.2764131,-1.1158276,0.464135,0.3345595,-0.2210009,0.0951389
10/02/1998,-0.5594929,0.3738048,1.0146967,1.9537766,-4.0241182,-0.514266
10/05/1998,-4.6379209,-1.052487,-4.3805828,-2.7877306,-7.1321385,-10.408055
10/06/1998,0.4182626,0.3408275,0.2793782,0.2733361,-0.0881977,-0.4032789
10/07/1998,-0.1397407,-0.029309,-0.4276659,-0.6755457,0.0482535,0.0915605
10/08/1998,-0.4532661,-0.6832468,0.1693527,0.1925308,-0.1936973,-0.1766121
10/09/1998,-0.038335,-0.2556686,-0.1991606,0.3968644,-0.1374869,0.6649624
10/12/1998,-0.7667594,-2.7223129,0.3865084,-0.7653224,-0.9025117,-1.1350591
13/10/1998,-0.1750495,-1.6641517,-2.0850325,-1.7075245,-0.3140276,-2.0181586
14/10/1998,0.2353987,0.8668789,0.7495285,1.6390534,0.6590349,1.9478427
15/10/1998,-0.0858483,-0.3351063,-0.1437079,-0.1906729,-0.0939849,-0.1609493
16/10/1998,-0.0849393,-0.3125587,-0.4088369,-0.1701255,-0.1576386,-0.2493571
19/10/1998,-0.1251404,-0.1483343,0.1236222,-0.0620082,-0.1021038,-0.217154
20/10/1998,0.1779921,0.0746755,0.7028299,-0.0919375,0.4265532,0.6875424
21/10/1998,0.4124084,1.0280697,0.5843776,1.0812814,0.5424782,0.309105
22/10/1998,-0.4245178,-0.2048974,-0.7271377,-0.5980763,-0.5476832,-0.8488124
